Tipo de jornada;Comunidades y Ciudades Autonómas;Decil;Periodo;Total
Total;Total Nacional;Total decil;2019;1.982,31
Total;01 Andalucía;Total decil;2019;1.773,03
Total;02 Aragón;Total decil;2019;1.958,40
Total;03 Asturias, Principado de;Total decil;2019;2.078,32
Total;04 Balears, Illes;Total decil;2019;1.940,23
Total;05 Canarias;Total decil;2019;1.749,95
Total;06 Cantabria;Total decil;2019;1.959,82
Total;07 Castilla y León;Total decil;2019;1.904,30
Total;08 Castilla - La Mancha;Total decil;2019;1.880,92
Total;09 Cataluña;Total decil;2019;2.143,48
Total;10 Comunitat Valenciana;Total decil;2019;1.860,93
Total;11 Extremadura;Total decil;2019;1.682,64
Total;12 Galicia;Total decil;2019;1.889,08
Total;13 Madrid, Comunidad de;Total decil;2019;2.172,10
Total;14 Murcia, Región de;Total decil;2019;1.774,80
Total;15 Navarra, Comunidad Foral de;Total decil;2019;2.216,96
Total;16 País Vasco;Total decil;2019;2.332,63
Total;17 Rioja, La;Total decil;2019;1.987,39
Total;18 Ceuta;Total decil;2019;2.323,25
Total;19 Melilla;Total decil;2019;2.291,71
Jornada a tiempo completo;Total Nacional;Total decil;2019;2.207,31
Jornada a tiempo completo;01 Andalucía;Total decil;2019;1.980,07
Jornada a tiempo completo;02 Aragón;Total decil;2019;2.162,35
Jornada a tiempo completo;03 Asturias, Principado de;Total decil;2019;2.341,76
Jornada a tiempo completo;04 Balears, Illes;Total decil;2019;2.124,98
Jornada a tiempo completo;05 Canarias;Total decil;2019;1.907,78
Jornada a tiempo completo;06 Cantabria;Total decil;2019;2.182,91
Jornada a tiempo completo;07 Castilla y León;Total decil;2019;2.142,40
Jornada a tiempo completo;08 Castilla - La Mancha;Total decil;2019;2.089,00
Jornada a tiempo completo;09 Cataluña;Total decil;2019;2.379,25
Jornada a tiempo completo;10 Comunitat Valenciana;Total decil;2019;2.085,52
Jornada a tiempo completo;11 Extremadura;Total decil;2019;1.928,51
Jornada a tiempo completo;12 Galicia;Total decil;2019;2.097,56
Jornada a tiempo completo;13 Madrid, Comunidad de;Total decil;2019;2.408,23
Jornada a tiempo completo;14 Murcia, Región de;Total decil;2019;1.995,72
Jornada a tiempo completo;15 Navarra, Comunidad Foral de;Total decil;2019;2.471,92
Jornada a tiempo completo;16 País Vasco;Total decil;2019;2.626,86
Jornada a tiempo completo;17 Rioja, La;Total decil;2019;2.204,48
Jornada a tiempo completo;18 Ceuta;Total decil;2019;2.577,35
Jornada a tiempo completo;19 Melilla;Total decil;2019;2.593,97
Jornada a tiempo parcial;Total Nacional;Total decil;2019;806,19
Jornada a tiempo parcial;01 Andalucía;Total decil;2019;726,66
Jornada a tiempo parcial;02 Aragón;Total decil;2019;821,92
Jornada a tiempo parcial;03 Asturias, Principado de;Total decil;2019;768,83
Jornada a tiempo parcial;04 Balears, Illes;Total decil;2019;852,63
Jornada a tiempo parcial;05 Canarias;Total decil;2019;734,18
Jornada a tiempo parcial;06 Cantabria;Total decil;2019;829,05
Jornada a tiempo parcial;07 Castilla y León;Total decil;2019;809,51
Jornada a tiempo parcial;08 Castilla - La Mancha;Total decil;2019;784,56
Jornada a tiempo parcial;09 Cataluña;Total decil;2019;867,66
Jornada a tiempo parcial;10 Comunitat Valenciana;Total decil;2019;737,37
Jornada a tiempo parcial;11 Extremadura;Total decil;2019;669,36
Jornada a tiempo parcial;12 Galicia;Total decil;2019;763,74
Jornada a tiempo parcial;13 Madrid, Comunidad de;Total decil;2019;870,27
Jornada a tiempo parcial;14 Murcia, Región de;Total decil;2019;669,57
Jornada a tiempo parcial;15 Navarra, Comunidad Foral de;Total decil;2019;1.035,21
Jornada a tiempo parcial;16 País Vasco;Total decil;2019;942,81
Jornada a tiempo parcial;17 Rioja, La;Total decil;2019;846,66
Jornada a tiempo parcial;18 Ceuta;Total decil;2019;871,29
Jornada a tiempo parcial;19 Melilla;Total decil;2019;939,56
