provincias;Salario media;Precio compra m2;Tasa Paro ;Coste de vida;Precio medio Obra Nueva INE 2016;Precio Medio 2 mano INE 2016;VM;Precio m2 Alquiler
Madrid;2408.23;2945.0;13.5;115.7;79097.0;64674.0;256030.2;13.7
Murcia;1995.72;1056.0;15.4;87.8;82108.0;6684.0;96970.65;6.8
Asturias;2341.76;1361.0;13.5;98.1;79552.0;63398.0;103938.28;7.5
Rioja;1987.39;1235.0;10.4;94.5;64394.0;56758.0;97816.94;6.9
Cantabria;2182.91;1454.0;11.8;98.6;76523.0;61731.0;137389.44;8.3
Navarra;2471.92;1462.0;11.7;97.9;60907.0;49198.0;153776.84;8.9
Baleares;2124.98;3169.0;17.3;102.8;90210.0;70996.0;324252.94;11.7
Almeria;1980.0;1063.0;21.2;94.5;94078.0;69007.0;94208.98;6.5
Cadiz;1980.0;1548.0;24.9;94.5;94078.0;69007.0;130520.42;8.1
Cordoba;1980.0;1232.0;23.8;94.5;94078.0;69007.0;104045.07;7.1
Granada;1980.0;1349.0;24.8;94.5;94078.0;69007.0;108325.49;7.8
Huelva;1980.0;1235.0;27.2;94.5;94078.0;69007.0;102495.04;7.7
Jaen;1980.0;847.0;22.8;94.5;94078.0;69007.0;77577.26;5.0
Malaga;1980.0;2374.0;19.3;94.5;94078.0;69007.0;234004.81;9.5
Sevilla;1980.0;1410.0;22.4;94.5;94078.0;69007.0;124715.46;9.2
Huesca;2162.35;1379.0;12.5;98.1;65895.0;51535.0;103800.31;8.0
Teruel;2162.35;901.0;9.3;98.1;65895.0;51535.0;80887.57;5.4
Zaragoza;2162.35;1348.0;12.9;98.1;65895.0;51535.0;136034.05;8.1
Las Palmas;1907.78;1934.0;25.9;96.6;86218.0;69177.0;157148.88;10.5
Tenerife;1907.78;1854.0;24.5;96.6;86218.0;69177.0;152445.61;9.2
Avila;2142.4;862.0;16.1;94.8;74834.0;59002.0;78331.01;5.4
Burgos;2142.4;1185.0;9.4;94.8;74834.0;59002.0;105860.38;7.1
Leon;2142.4;996.0;12.1;94.8;74834.0;59002.0;87405.23;6.0
Palencia;2142.4;1116.0;9.6;94.8;74834.0;59002.0;83804.71;6.0
Salamanca;2142.4;1320.0;15.8;94.8;74834.0;59002.0;103945.16;7.7
Segovia;2142.4;1082.0;8.2;94.8;74834.0;59002.0;108900.0;7.4
Soria;2142.4;994.0;7.7;94.8;74834.0;59002.0;85581.52;6.0
Valladolid;2142.4;1280.0;11.4;94.8;74834.0;59002.0;114360.97;6.9
Zamora;2142.4;968.0;11.5;94.8;74834.0;59002.0;72292.99;5.2
Albacete;2089.0;1102.0;17.4;89.8;74054.0;61805.0;96757.63;6.1
Ciudad Real;2089.0;768.0;17.5;89.8;74054.0;61805.0;69954.96;5.2
Cuenca;2089.0;798.0;12.7;89.8;74054.0;61805.0;73037.42;5.3
Guadalajara;2089.0;1048.0;14.0;89.8;74054.0;61805.0;113516.57;6.7
Toledo;2089.0;793.0;19.9;89.8;74054.0;61805.0;84050.72;6.1
Barcelona;2379.25;2739.0;13.7;107.6;73964.0;59505.0;223763.42;13.9
Girona;2379.25;2071.0;13.3;107.6;73964.0;59505.0;185944.42;9.5
Lleida;2379.25;1246.0;11.0;107.6;73964.0;59505.0;105663.47;7.8
Tarragona;2379.25;1379.0;17.5;107.6;73964.0;59505.0;124211.4;7.7
Alicante;2085.52;1680.0;14.7;91.3;82496.0;65742.0;136183.7;7.1
Castellon;2085.52;1100.0;14.1;91.3;82496.0;65742.0;87229.74;6.3
Valencia;2085.52;1269.0;14.7;91.3;82496.0;65742.0;113254.07;8.2
Alava;2626.86;2158.0;10.0;107.1;75937.0;55806.0;172908.91;9.7
Guipuzkoa;2626.86;3181.0;7.0;107.1;75937.0;55806.0;242058.7;13.6
Bizkaia;2626.86;2619.0;11.9;107.1;75937.0;55806.0;204594.03;11.8
Badajoz;1928.51;938.0;22.9;86.4;87194.0;68035.0;69149.41;5.6
Caceres;1928.51;927.0;18.5;86.4;87194.0;68035.0;149642.33;5.2
Coruña;2097.56;1313.0;11.6;93.8;84340.0;66164.0;123878.25;6.9
Lugo;2097.56;993.0;8.3;93.8;84340.0;66164.0;97800.25;5.3
Ourense;2097.56;1166.0;10.3;93.8;84340.0;66164.0;94783.23;5.8
Pontevedra;2097.56;1547.0;13.3;93.8;84340.0;66164.0;133740.65;9.1
